jobid,exename,numnodes,numcpus,numtasks,executiontime,start,end,power,memory,appname,taskspercpu,taskspernode,user
1,vasp_std,1,256,64,1234,2020-11-30T02:10:50,2020-11-30T02:31:24,255.049,13494900,vasp,0.25,64,user_1
2,vasp_std,2,512,128,694,2020-11-30T13:56:05,2020-11-30T14:07:39,234.997,14639100,vasp,0.25,64,user_1
3,vasp_std,2,512,128,1046,2020-11-30T13:38:42,2020-11-30T13:56:08,233.322,15058600,vasp,0.25,64,user_1
4,vasp_std,1,256,64,3306,2020-11-30T16:59:15,2020-11-30T17:54:21,267.184,13548900,vasp,0.25,64,user_1
5,vasp_std,1,256,64,3364,2020-12-01T04:08:45,2020-12-01T05:04:49,250.573,15254100,vasp,0.25,64,user_1
6,vasp_std,1,256,64,6619,2020-12-01T04:08:45,2020-12-01T05:59:04,255.132,13921300,vasp,0.25,64,user_1
7,vasp_std,1,256,64,3780,2020-12-01T07:22:31,2020-12-01T08:25:31,251.93,13520500,vasp,0.25,64,user_1
8,vasp_std,1,256,64,7726,2020-12-01T07:22:31,2020-12-01T09:31:17,264.457,13392700,vasp,0.25,64,user_1
9,vasp_std,1,256,64,4830,2020-12-01T13:44:26,2020-12-01T15:04:56,271.469,13866600,vasp,0.25,64,user_1
10,vasp_std,1,256,64,8456,2020-12-01T13:44:26,2020-12-01T16:05:22,267.536,13725200,vasp,0.25,64,user_1
11,vasp_std,2,512,128,953,2020-12-01T15:52:14,2020-12-01T16:08:07,249.032,15432900,vasp,0.25,64,user_1
12,vasp_std,2,512,128,732,2020-12-02T15:16:46,2020-12-02T15:28:58,225.862,14864100,vasp,0.25,64,user_1
13,vasp_std,2,512,128,963,2020-12-01T16:23:05,2020-12-01T16:39:08,220.076,15874200,vasp,0.25,64,user_1
14,vasp_std,2,512,128,843,2020-12-01T16:25:23,2020-12-01T16:39:26,241.736,15847100,vasp,0.25,64,user_1
15,vasp_std,2,512,128,942,2020-12-01T20:57:40,2020-12-01T21:13:22,244.07,15156400,vasp,0.25,64,user_1
16,vasp_std,2,512,128,957,2020-12-01T18:24:17,2020-12-01T18:40:14,250.456,15147400,vasp,0.25,64,user_1
17,vasp_std,5,1280,320,601,2020-12-02T15:11:11,2020-12-02T15:21:12,239.405,18158900,vasp,0.25,64,user_1
18,vasp_std_fixed_c,8,2048,256,2572,2020-11-30T01:25:51,2020-11-30T02:08:43,166.981,10391800,vasp,0.125,32,user_2
19,vasp_std_fixed_c,8,2048,256,3225,2020-11-30T01:27:26,2020-11-30T02:21:11,171.425,11373000,vasp,0.125,32,user_2
20,vasp_std_fixed_c,8,2048,256,1801,2020-11-30T02:17:52,2020-11-30T02:47:53,162.952,15643200,vasp,0.125,32,user_2
21,vasp_std_fixed_c,8,2048,256,1102,2020-11-30T08:19:18,2020-11-30T08:37:40,169.268,11067900,vasp,0.125,32,user_2
22,vasp_std,4,1024,128,1400,2020-11-30T21:42:54,2020-11-30T22:06:14,167.69,9147820,vasp,0.125,32,user_2
23,vasp_gam,9,576,576,1790,2020-11-30T01:28:04,2020-11-30T01:57:54,197.29,47800100,vasp,1,64,user_3
24,vasp_gam,9,576,576,1667,2020-11-30T01:29:45,2020-11-30T01:57:32,199.046,46464100,vasp,1,64,user_3
25,vasp_gam,9,576,576,1362,2020-11-30T04:50:00,2020-11-30T05:12:42,199.944,45188100,vasp,1,64,user_3
26,vasp_gam,9,576,576,1438,2020-11-30T05:07:30,2020-11-30T05:31:28,201.398,46223100,vasp,1,64,user_3
27,vasp_gam,9,576,576,1378,2020-11-30T05:14:17,2020-11-30T05:37:15,198.07,48176700,vasp,1,64,user_3
28,vasp_gam,9,576,576,1344,2020-11-30T05:14:17,2020-11-30T05:36:41,198.959,47711700,vasp,1,64,user_3
29,vasp_gam,9,576,576,1416,2020-11-30T05:21:51,2020-11-30T05:45:27,198.167,47180100,vasp,1,64,user_3
30,vasp_gam,9,576,576,1393,2020-11-30T05:32:01,2020-11-30T05:55:14,200.641,48015100,vasp,1,64,user_3
31,vasp_gam,9,576,576,1344,2020-11-30T05:37:10,2020-11-30T05:59:34,199.323,50659800,vasp,1,64,user_3
32,vasp_gam,9,576,576,1324,2020-11-30T05:37:59,2020-11-30T06:00:03,198.617,48331200,vasp,1,64,user_3
33,vasp_gam,9,576,576,1380,2020-11-30T07:08:11,2020-11-30T07:31:11,200.521,49229600,vasp,1,64,user_3
34,vasp_gam,9,576,576,1384,2020-11-30T07:18:22,2020-11-30T07:41:26,201.664,49316200,vasp,1,64,user_3
35,vasp_gam,9,576,576,1373,2020-11-30T07:18:25,2020-11-30T07:41:18,204.116,48581700,vasp,1,64,user_3
